molecule_chembl_id,target_chembl_id,canonical_smiles,standard_value,pIC50,assay_chembl_id,target_family,assay_type,compound_class,toxicity_risk,solubility_level,num_h_donors,num_h_acceptors,tpsa,num_rotatable_bonds,lipinski_compliant
CHEMBL324340,CHEMBL3921,Cc1ccc2oc(-c3cccc(N4C(=O)c5ccc(C(=O)O)cc5C4=O)c3)nc2c1,2500.0,5.6020599913279625,CHEMBL872937,Heparanase,B,Small Molecule,5,3,1.0,5.0,100.71,3.0,1
CHEMBL109600,CHEMBL3921,COc1ccccc1-c1ccc2oc(-c3ccc(OC)c(N4C(=O)c5ccc(C(=O)O)cc5C4=O)c3)nc2c1,9000.0,5.045757490560675,CHEMBL872937,Heparanase,B,Peptide,2,2,1.0,7.0,119.17,6.0,0
CHEMBL1202755,CHEMBL1835,CC(CCCc1cccnc1)NC(=O)c1ccc2nc3ccc(C(C)C)cc3c(=O)n2c1.Cl.Cl,1000.0,6.0,CHEMBL808532,Thromboxane-A synthase,B,Peptide,2,2,1.0,5.0,76.36,7.0,0
CHEMBL303519,CHEMBL217,c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1,9800.0,5.008773924307505,CHEMBL671073,Dopamine D2 receptor,B,Small Molecule,1,4,0.0,4.0,32.260000000000005,3.0,1
CHEMBL303519,CHEMBL234,c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1,5600.0,5.251811972993799,CHEMBL670427,Dopamine D3 receptor,B,Small Molecule,4,4,0.0,4.0,32.260000000000005,3.0,1
CHEMBL303519,CHEMBL219,c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1,20.0,7.698970004336019,CHEMBL676182,Dopamine D4 receptor,B,Small Molecule,4,2,0.0,4.0,32.260000000000005,3.0,1
CHEMBL415967,CHEMBL4791,O=P(O)(O)C(Cc1ccc2ccccc2c1)N[C@@H](Cc1ccc(-c2ccccc2)cc1)c1nnn[nH]1,45.0,7.346787486224656,CHEMBL675440,Endothelin-converting enzyme 1,B,Small Molecule,4,1,4.0,5.0,124.02,9.0,1
CHEMBL415967,CHEMBL1944,O=P(O)(O)C(Cc1ccc2ccccc2c1)N[C@@H](Cc1ccc(-c2ccccc2)cc1)c1nnn[nH]1,6.9,8.161150909262744,CHEMBL754363,Neprilysin,B,Small Molecule,5,4,4.0,5.0,124.02,9.0,1
CHEMBL117716,CHEMBL244,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccc3ccccc3n2)NS(=O)(=O)Cc2ccccc2)C1O,44.4,7.35261702988538,CHEMBL681849,Coagulation factor X,B,Peptide,4,1,7.0,8.0,219.7,12.0,0
CHEMBL117716,CHEMBL204,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccc3ccccc3n2)NS(=O)(=O)Cc2ccccc2)C1O,1270.0,5.896196279044043,CHEMBL815798,Thrombin,B,Peptide,2,4,7.0,8.0,219.7,12.0,0
CHEMBL117716,CHEMBL1801,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccc3ccccc3n2)NS(=O)(=O)Cc2ccccc2)C1O,1440.0,5.841637507904751,CHEMBL764384,Plasminogen,B,Peptide,5,1,7.0,8.0,219.7,12.0,0
CHEMBL54768,CHEMBL3849,CCc1ccc(CC[C@@H]2CCC(C)(C)[C@H](OC)[C@H]2Cn2cncn2)cc1,0.01,11.0,CHEMBL705239,Cytochrome P450 51,B,Small Molecule,3,1,0.0,4.0,39.94,7.0,1
CHEMBL79902,CHEMBL2093863,COc1ccc2c(Cc3c(Cl)c[n+]([O-])cc3Cl)nnc(-c3nccs3)c2c1,4.0,8.397940008672037,CHEMBL765688,Phosphodiesterase 4,B,Small Molecule,2,4,0.0,6.0,74.84,4.0,1
CHEMBL79902,CHEMBL2093863,COc1ccc2c(Cc3c(Cl)c[n+]([O-])cc3Cl)nnc(-c3nccs3)c2c1,3.981,8.400007822415901,CHEMBL768609,Phosphodiesterase 4,B,Small Molecule,2,2,0.0,6.0,74.84,4.0,1
CHEMBL421343,CHEMBL2093863,COc1ccc2c(c1OC1CCCC1)CN(C(C)=O)N=C2Cc1c(Cl)cncc1Cl,30.0,7.522878745280337,CHEMBL765688,Phosphodiesterase 4,B,Small Molecule,2,1,0.0,5.0,64.02000000000001,5.0,0
CHEMBL82934,CHEMBL2093863,COc1ccc2c(c1)CN(C(N)=O)N=C2Cc1c(Cl)cncc1Cl,36.0,7.443697499232712,CHEMBL765688,Phosphodiesterase 4,B,Small Molecule,2,1,1.0,4.0,80.81,3.0,1
CHEMBL82934,CHEMBL2093863,COc1ccc2c(c1)CN(C(N)=O)N=C2Cc1c(Cl)cncc1Cl,36.31,7.439973751087107,CHEMBL768609,Phosphodiesterase 4,B,Small Molecule,3,2,1.0,4.0,80.81,3.0,1
CHEMBL285848,CHEMBL2094108,CCCC[C@@H](C)/C=C(C)/C=C(\C)C(=O)NC1=C[C@@](O)(/C=C/C=C/C=C/C(=O)NC2=C(O)CCC2=O)[C@@H]2O[C@@H]2C1=O,11900.0,4.924453038607469,CHEMBL681468,Protein farnesyltransferase,B,Peptide,2,2,4.0,7.0,145.33,12.0,0
CHEMBL68920,CHEMBL1913,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,100000.0,4.0,CHEMBL763442,Platelet-derived growth factor receptor beta,B,Small Molecule,1,5,3.0,4.0,82.69999999999999,3.0,1
CHEMBL68920,CHEMBL279,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,16500.0,4.782516055786093,CHEMBL816964,Vascular endothelial growth factor receptor 2,B,Small Molecule,4,2,3.0,4.0,82.69999999999999,3.0,1
CHEMBL69960,CHEMBL203,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,170.0,6.769551078621726,CHEMBL674637,Epidermal growth factor receptor erbB1,B,Small Molecule,4,2,3.0,6.0,112.24,4.0,1
CHEMBL69960,CHEMBL1913,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,20000.0,4.698970004336019,CHEMBL763442,Platelet-derived growth factor receptor beta,B,Small Molecule,4,4,3.0,6.0,112.24,4.0,1
CHEMBL69960,CHEMBL279,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,20000.0,4.698970004336019,CHEMBL816964,Vascular endothelial growth factor receptor 2,B,Small Molecule,4,1,3.0,6.0,112.24,4.0,1
CHEMBL330643,CHEMBL3974,CC(C)(C)c1ccc(Cn2c(=N)n(CC(=O)c3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c3ccccc32)cc1,734.0,6.134303940083929,CHEMBL812612,Proteinase-activated receptor 1,B,Peptide,3,4,2.0,5.0,71.01,5.0,0
CHEMBL170335,CHEMBL252,C/C=C/C=C/C=C/C(=O)O[C@@H]1C=C2COC(O)[C@]2(O)[C@@]2(C)CCCC(C)(C)C12,65000.0,4.187086643357144,CHEMBL676566,Endothelin receptor ET-A,B,Small Molecule,4,3,2.0,5.0,75.99000000000001,4.0,1
CHEMBL170335,CHEMBL1785,C/C=C/C=C/C=C/C(=O)O[C@@H]1C=C2COC(O)[C@]2(O)[C@@]2(C)CCCC(C)(C)C12,21000.0,4.6777807052660805,CHEMBL671538,Endothelin receptor ET-B,B,Small Molecule,2,4,2.0,5.0,75.99000000000001,4.0,1
CHEMBL170335,CHEMBL1785,C/C=C/C=C/C=C/C(=O)O[C@@H]1C=C2COC(O)[C@]2(O)[C@@]2(C)CCCC(C)(C)C12,41000.0,4.3872161432802645,CHEMBL676633,Endothelin receptor ET-B,B,Small Molecule,1,2,2.0,5.0,75.99000000000001,4.0,1
CHEMBL69638,CHEMBL258,Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1,140.0,6.853871964321762,CHEMBL842023,Tyrosine-protein kinase LCK,B,Small Molecule,1,3,1.0,5.0,65.96000000000001,4.0,0
CHEMBL69638,CHEMBL258,Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1,1200.0,5.920818753952375,CHEMBL842015,Tyrosine-protein kinase LCK,B,Small Molecule,2,4,1.0,5.0,65.96000000000001,4.0,0
CHEMBL69638,CHEMBL258,Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1,10000.0,5.0,CHEMBL841209,Tyrosine-protein kinase LCK,B,Small Molecule,3,4,1.0,5.0,65.96000000000001,4.0,0
CHEMBL69638,CHEMBL279,Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1,7100.0,5.1487416512809245,CHEMBL817617,Vascular endothelial growth factor receptor 2,B,Small Molecule,2,1,1.0,5.0,65.96000000000001,4.0,0
CHEMBL69638,CHEMBL4128,Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1,3400.0,5.468521082957745,CHEMBL847682,Tyrosine-protein kinase TIE-2,B,Small Molecule,5,1,1.0,5.0,65.96000000000001,4.0,0
